place_name,latitude,longitude
Charminar,17.35867794,78.47402769
Shahalibanda,17.35474993,78.4730244
Kilwat,17.36012747,78.47137494
Moosabowli,17.36427457,78.4666682
City College,17.36745265,78.46829029
Madina,17.37037395,78.47559155
Afzalgunj,17.3734,78.4759
Osmangunj,17.38015927,78.47498235
Gandhibavan,17.38834566,78.47138823
Nampally Railway Station,17.39215949,78.47004979
Nampally Public Garden,17.396278,78.470819
Assembly,17.400243,78.470014
Lakdikapool,17.403609,78.464974
Chintal Basthi,17.408898,78.460376
Khairatabad,17.41416544,78.45863971
Khairatabad,17.415785,78.457715
Irram Manzil,17.42075297,78.45569725
Nims Hospital,17.4230085,78.45438905
Punjagutta,17.42632288,78.45262886
Pvr Mall Bus Stop,17.429381,78.450406
Ameerpet,17.431553,78.44765
Maithrivanam,17.44004554,78.44236414
Sr Nagar,17.44296525,78.44073728
Esi Hospital,17.448534,78.437619
Erragadda,17.45617,78.433778
Bharath Nagar,17.46723208,78.42877865
Moosapet,17.47081311,78.42667579
Prashanth Nagar Bus Station,17.47476399,78.42554926
Balnagar,17.46787926,78.44608426
Idpl Water Tank,17.48172545,78.44902396
Idpl Colony,17.48791105,78.45000699
Ganesh Nagar Chintal,17.49089,78.45099
Chintal,17.4954,78.452103
Quthubullapur X Road,17.49889739,78.45175981
Hmt,17.50284571,78.45028734
Gajularam X Road,17.510098,78.447706
Shapur Nagar,17.51600122,78.44690233
Rythu Bazar,17.5176101,78.44659121
Sub Station-Jeedimetla,17.52275733,78.44338618
Jeedimetla,17.52636037,78.44031217
Saibaba Nagar,17.536032,78.434701
Suraram X Road,17.54148961,78.43375415
Bahadur Pally X Road,17.56058162,78.43076473
Gandimaisamma,17.57507524,78.42319429
Mehadipatnam Depot,17.392219,78.440777
Mehdipatnam,17.39472518,78.44017263
Nanal Nagar,17.39512859,78.42734232
Langar House,17.37843771,78.4209751
Bapu-Ghat,17.374015,78.417593
Tippu Khan Bridge,17.37102639,78.40462269
Suncity,17.36476225,78.39571808
Bandlaguda X Road,17.359568,78.38798895
Peeram Cheru,17.35449841,78.37902164
Kalimandir,17.35233192,78.37701528
Appa Junction,17.35093538,78.3580166
Golden Farms,17.35369008,78.34210306
Osman Sagar X Rd,17.35310141,78.33088464
Aziz Nagar X Roads,17.34414051,78.32481623
Himayathnagar X Road,17.33863251,78.31190653
Jbiet College Amdapur X Road Bus Stop,17.33140703,78.29720456
Decent Poultry,17.33107258,78.29313397
Sathsang,17.33002791,78.2801199
Moinabad,17.328394,78.272705
Ayaan College,17.31438034,78.25669684
Kanakamamidi,17.31323061,78.24891776
Kethireddy Pally X Road,17.31019106,78.22889235
Appareddyguda X Road,17.31019618,78.223764
Tholkatta X Roads,17.31345594,78.216919
Mudimyal,17.31947984,78.20895821
Kandawada X Road,17.30718218,78.18237483
Malkapur,17.312,78.172
Kesaram,17.30638448,78.1610097
Chevella Bs,17.313487,78.138914
Kesaram,17.30654741,78.16108078
Malkapur,17.3122833,78.17197323
Kandawada X Road,17.30725134,78.18241373
Mudimyal,17.31962449,78.20908695
Tholkatta X Roads,17.31348287,78.21698607
Appareddyguda X Road,17.31022976,78.22377171
Kethireddy Pally X Road,17.31026017,78.22901845
Kanakamamidi,17.31324847,78.2487917
Ayaan College,17.31466329,78.25676423
Moinabad,17.328963,78.27318
Sathsang,17.33024299,78.28014672
Decent Poultry,17.33127226,78.29315543
Jbiet College Amdapur X Road Bus Stop,17.33162177,78.29738259
Himayathnagar X Road,17.33877669,78.31199256
Aziz Nagar X Roads,17.34418919,78.32465795
Osman Sagar X Rd,17.35319731,78.3305561
Golden Farms,17.35375407,78.34207087
Appa Junction,17.35084335,78.35830717
Kalimandir,17.35245119,78.37686915
Peeram Cheru,17.35461106,78.37880742
Bandlaguda X Road,17.3598,78.3881
Suncity,17.3651,78.3958
Tippu Khan Bridge,17.37109775,78.40446922
Bapu Nagar,17.374278,78.417719
Langar House,17.38158305,78.42183708
Nanal Nagar,17.39548771,78.42732492
Mehdipatnam,17.39527392,78.43979619
Chandrayangutta,17.32722719,78.47513793
Farooqnagar,17.329644,78.470292
Engine Bowli,17.33656622,78.46795012
Falaknuma Depot,17.33722755,78.467025
Sarojini Devi Hospital,17.398719,78.444326
Nmdc,17.39896148,78.44955236
Masab Tank,17.4042608,78.45190465
Pension Office,17.40747384,78.45108453
Care Hospital-Banjara Hills,17.41362673,78.45043346
Banjarahills Road No 7,17.41680678,78.44879329
Gvk Mall,17.41873099,78.44810396
Nims Hospital,17.42195336,78.44911516
Punjagutta,17.42662104,78.45111072
Green Land,17.43072699,78.45590785
Rj College,17.4350377,78.45528692
Hps Begumpet,17.44279925,78.45889147
Shyamlal Begumpet,17.444383,78.461112
Shoppers Stop Begumpet,17.44512232,78.46500189
Prakash Nagar Begumpet,17.4443061,78.47153045
Police Lines,17.443691,78.478073
Wesley College,17.44347191,78.48205269
Paradise,17.44349494,78.48664999
Plaza,17.44330305,78.49065723
Patny,17.44318276,78.49624693
Secunderabad,17.44294733,78.50370884
Sangeeth-Isckon,17.44116763,78.50563601
Secunderabad,17.4371306,78.50514797
Chilkalguda,17.43330525,78.50677192
Alugadda Bhavi,17.435588,78.514285
Mettuguda,17.434563,78.520907
Tarnaka,17.42580594,78.53271961
Habsiguda,17.42129738,78.53977583
Hmt Nagar,17.42443969,78.54731418
Nacharam,17.42808217,78.55094254
Esi Hospital Nacharam,17.43094713,78.55324522
Nacharam X Road,17.43363563,78.55445891
Delhi Tubes Nacharam,17.43830023,78.55833944
Janapriya - Mallapur,17.44177322,78.56528165
Mallapur Village,17.44548828,78.56740594
Noma Function Hall,17.44719502,78.57199788
Nfc X Roads,17.44847058,78.57579455
Ashoknagar-Mallapur,17.45000455,78.58082906
Hcl,17.45555446,78.581737
Ecil Gate,17.46740597,78.57388616
Ecil X Road,17.47205984,78.57107788
Kushaiguda,17.48031836,78.57501537
Nagarjuna Nagar Clny,17.4801444,78.58167026
Chakripuram,17.47877589,78.58613849
Cherlapally Water Tank,17.47128366,78.59696757
Cherlapally Railway Station,17.45904065,78.60438825
Cherlapally,17.46328524,78.6114545
Cherlapally Railway Station,17.4593029,78.60471278
Chakripuram,17.47920036,78.58546793
Nagarjuna Nagar Clny,17.47988472,78.58190194
Kushaiguda,17.48034395,78.57518468
Hcl,17.45525778,78.58136952
Ecil Gate,17.46724739,78.57389152
Delhi Tubes Nacharam,17.43809938,78.55823099
Nacharam X Road,17.43346652,78.55520992
Hmt Nagar,17.42402879,78.54717135
Habsiguda,17.421528,78.538962
Tarnaka,17.42570614,78.53222742
Mettuguda,17.43620172,78.52066007
Alugadda Bhavi,17.43531413,78.51438403
Chilkalguda,17.43306215,78.50638295
Secunderabad,17.434259,78.501577
Patny,17.44296008,78.49667341
Plaza,17.44320462,78.49011942
Paradise,17.44314095,78.48621763
Wesley College,17.44334722,78.48193144
Police Lines,17.44365106,78.47499311
Prakash Nagar Begumpet,17.44399184,78.47139359
Shoppers Stop Begumpet,17.44483962,78.46490432
Shyamlal Begumpet,17.44420962,78.46172825
Hps Begumpet,17.44255487,78.45927805
Rj College,17.4349994,78.45557926
Punjagutta,17.42645225,78.45141113
Nims Hospital,17.42145924,78.44896227
Gvk Mall,17.41794804,78.4490186
Banjarahills Road No 7,17.41633183,78.44893545
Care Hospital-Banjara Hills,17.41363281,78.45061183
Pension Office,17.40788489,78.45115899
Masab Tank,17.40416358,78.4522453
Nmdc,17.39877841,78.44944775
Sarojini Devi Hospital,17.39854304,78.44446689
Mehdipatnam,17.39446381,78.4394866
Tippu Khan Bridge,17.37339446,78.40440271
Ramdev Guda,17.37523733,78.39603963
Age Bar,17.37656394,78.38581838
Ibrahim Bagh,17.37671497,78.38191777
Taramathi,17.37678856,78.3789137
Neknapur,17.37894518,78.36991489
Hanuman Temple,17.381,78.367
Narsinghi,17.38423134,78.361421
Kokapet X Rd,17.387619,78.341096
Grape Garden,17.38682269,78.33802879
Gandipet X Road,17.385,78.331
Cbit,17.39353559,78.32022429
Mile Stone,17.3962497,78.31107795
Khanapur,17.397,78.302
Miyakhan Gadda,17.40493392,78.28495592
Janwada X Road,17.41273737,78.26676518
Kollur X Road,17.41777399,78.24990481
Dontapally,17.41855584,78.22431786
Indian Business School ( Ibs ),17.41892564,78.21693778
Proddutur X Roads,17.422,78.21
Mokila Bus Stop,17.43199217,78.18975594
Bulkapur,17.44480251,78.15878749
Bhanur X Road,17.453,78.144
Shankarpally Bus Station,17.45583,78.13135
Bhanur X Road,17.45333479,78.14411983
Bulkapur,17.44489463,78.15888673
Mokila,17.43346648,78.1868729
Proddutur X Roads,17.42231401,78.21024298
Indian Business School ( Ibs ),17.41875994,78.2177458
Dontapally,17.41867995,78.22393298
Kollur X Road,17.41774328,78.25076044
Janwada X Road,17.41281415,78.26687515
Miyakhan Gadda,17.405,78.286
Khanapur,17.39729652,78.30198258
Mile Stone,17.39627529,78.3115983
Cbit,17.39367488,78.3202672
Gandipet X Road,17.386,78.331
Grape Garden,17.387,78.338
Kokapet X Rd,17.388022,78.341466
Narsingi X Roads,17.38546351,78.35548058
Hanuman Temple,17.38024427,78.36837798
Neknapur,17.379,78.37
Taramathi,17.37689863,78.37893382
Ibrahim Bagh,17.37684488,78.38185612
Age Bar,17.37666314,78.38585861
Ramdev Guda,17.37512219,78.39702129
Tippu Khan Bridge,17.37335842,78.40511352
Narsingi X Roads,17.38531377,78.35566498
Narsinghi,17.38565288,78.35448951
Hayathnagar Bus Depot,17.32652505,78.59324098
Hayathnagar Bus Depot,17.33011503,78.59437287
Rtc Colony-Hyt,17.328654,78.598786
Hayathnagar,17.32731994,78.60489331
Hayathnagar,17.32707761,78.60373244
Rtc Colony Upl,17.328056,78.599494
Hayathnagar Bus Depot,17.32999218,78.59393298
Bhagyalatha (Arunodaya),17.33231694,78.58912647
Shanthi Nagar-Vanastalipuram,17.32820613,78.5875386
Sharada Nagar-Hayathnagar,17.32819462,78.58507633
Subhadra Nagar,17.32882958,78.5834187
Kamala Nagar-Vanasthalipuram,17.32982564,78.579036
Raithu Bazar-Vsp,17.3304987,78.57515749
Vanasthalipuram Complex,17.3307192,78.57296616
Ganesh Temple-Vanastalipuram,17.33124156,78.56918693
Panama Godowns,17.3379997,78.56924325
Chintalkunta Bus Stop,17.340501,78.563096
Chintalkunta Checkpost,17.34262771,78.55642761
Lb Nagar,17.34709759,78.55122149
Kamineni Hospetal-Lb Nagar,17.35336563,78.55557384
Rajeev Gandhi Nagar/Sai Nagar Bus Stop,17.35991872,78.55758771
Alkapuri X Rds,17.365287,78.556949
Snehapuri - Lb Nagar,17.36910641,78.55721623
Nagole X Rds,17.37678108,78.55775333
Nagole Metro Station,17.39052649,78.5587478
Uppal X Roads,17.40203986,78.55957624
Survey Of India,17.405683,78.555518
Ngri,17.41540517,78.54538174
Railway Degree Collge,17.42862991,78.52731228
Mettuguda,17.434189,78.520796
Jbs,17.44761222,78.49757971
Ngri,17.41546626,78.54574552
Survey Of India,17.40601599,78.55561039
Uppal X Road,17.39993534,78.56028199
Nagole Metro Station,17.3905572,78.55892481
Nagole X Road,17.37622157,78.55804369
Snehapuri Colony,17.36883637,78.55739058
Alkapuri X Road,17.36402244,78.5573128
Rajeev Gandhi Nagar,17.35965921,78.55781436
Kamineni Hospital,17.3524401,78.55567592
Lb Nagar,17.34654207,78.55145888
Chintalkunta Check Post,17.342,78.558
Chintalkunta Bus Stop,17.34088382,78.56209785
Panama Godowns,17.33840295,78.56863976
Ganesh Temple-Vanasthalipuram,17.3318023,78.56924862
Vanasthalipuram,17.33136062,78.57289743
Raithu Bazar-Vsp,17.33060531,78.57562422
Kamala Nagar-Vanasthalipuram,17.32989344,78.57894078
Subhadra-Kamala Nagar,17.32891292,78.58334101
Sharada Nagar-Hayathnagar,17.32945565,78.58563155
Shanthi Nagar-Vanastalipuram,17.32931867,78.58753592
